id,priority,epic,title,why,sprint,pass,depends_on,status,owner,acceptance,evidence
SEC-002,P2,Security Audit,Managed audit run lifecycle,Operators need status cancellation and bounded outputs,S02 proposed,P2,SEC-001,PROPOSED,lead then medium,Stub success failure timeout cancellation and child cleanup,
SEC-003,P2,Security Audit,Report and original bundle browser,Let operators inspect audit evidence without manual folder handling,S02 proposed,P3,SEC-002,PROPOSED,lead then medium,Containment content size limits partial results and safe Markdown JSON CSV ZIP,
OPS-001,P2,Investigation,Workspace item and run drill-down,Reduce repeated ID entry and connect operational evidence,S03 proposed,,SEC-003,PROPOSED,lead then medium,Context-preserving row navigation and stale response tests,
OPS-002,P2,Investigation,Monitoring entry points and operational summary,Expose relevant health signals and upstream monitoring workflows,S03 proposed,,OPS-001,PROPOSED,lead then medium,Source-backed useful summaries with clear scope and empty states,
COMP-001,P2,Maintenance,Compatibility baseline diff,See upstream added removed and changed semantics before admitting execution,S04 proposed,,LEAD-001,PROPOSED,lead then medium,Diff policy parameters endpoints provider identities and provenance,
COMP-002,P3,Maintenance,Optional upstream update signal,Help operators notice updates without changing their fork,S04 proposed,,COMP-001,PROPOSED,lead then medium,Opt-in check with timestamp provenance and no auto-merge,
ASSESS-001,P2,Assessment,Assessment readiness managed runs and artifacts,Reuse fat assess without copying migration assessment logic,S05 proposed,,SEC-003,PROPOSED,lead then medium,Separate dependencies auth lifecycle and original report handling,
LINEAGE-001,P3,Lineage,Notebook handoff with context,Support impact investigation using the upstream notebook,Later,,OPS-001,PROPOSED,lead then medium,Explicit prerequisites target context and output lifecycle,
WRITE-001,P3,Reviewed operations,Job cancel retry semantics review,Enable valuable intervention only with known retry and outcome semantics,Later,,LEAD-001,NEEDS_DESIGN,lead,Operation-specific idempotency confirmation verification blast radius,
WRITE-002,P3,Reviewed operations,Schedules and selected item lifecycle review,Reduce repeat administration once each operation is safe,Later,,WRITE-001,NEEDS_DESIGN,lead,Individual operation admission and negative tests,
WRITE-003,P3,Reviewed operations,Git and deployment mutations review,Coordinate operational releases through upstream implementations,Later,,WRITE-001,NEEDS_DESIGN,lead,Preview validation conflict handling and verification per action,
WRITE-004,P3,Reviewed operations,Roles capacity and destructive operations review,These require their own permission and recovery decisions,Unscheduled,,LEAD-001,DEFERRED,lead,Remain blocked until individually reviewed,
DIST-001,P3,Distribution,Standalone distribution architecture,Current backend needs the Toolbox repository to locate providers,Unscheduled,,REL-009,DEFERRED,lead,Decide bundled provider and source identity before promising portable install,
